“	PU	0	O
不仅	AD	0	O
如此	PN	0	O
，	PU	0	O
每	AD	0	O
当	P	0	O
政治	NN	0	O
运动	NN	0	O
来临	VV	0	O
，	PU	0	O
象	P	0	O
我们	PN	0	O
这样	AD	0	O
出身	NN	0	O
不	AD	0	O
好	VA	0	O
的	DEC	0	O
人	NN	0	O
不管	CS	0	O
平时	AD	0	O
表现	NN	0	O
多	AD	0	O
好	VA	0	O
，	PU	0	O
总	AD	0	O
免不了	AD	0	O
受到	VV	0	O
冲击	NN	0	O
，	PU	0	O
轻	VA	0	O
则	AD	0	O
停职	VV	0	O
反省	VV	0	O
，	PU	0	O
重	VA	0	O
则	AD	0	O
受	VV	0	O
审查	NN	0	O
、	PU	0	O
挨	VV	1	rel
批判	NN	0	S-ARG1
，	PU	0	O
”	PU	0	O
现	AD	0	O
已	AD	0	O
七十三	CD	0	O
岁	M	0	O
的	DEC	0	O
北京	NR	0	O
中国	NR	0	O
人民	NN	0	O
大学	NN	0	O
人口	NN	0	O
研究所	NN	0	O
教授	NN	0	O
查瑞传	NR	0	O
回忆	VV	0	O
说	VV	0	O
。	PU	0	O

“	PU	0	O
我	PN	0	O
仔细	AD	0	O
研究	VV	0	O
了	AS	0	O
泰森	NR	0	O
的	DEG	0	O
拳赛	NN	0	O
，	PU	0	O
他	PN	0	O
挨揍	VV	1	rel
时	LC	0	O
都	AD	0	O
是	VC	0	O
因为	P	0	O
对手	NN	0	O
主动	AD	0	O
出拳	VV	0	O
。	PU	0	O

宋浩京	NR	0	O
转达	VV	0	O
了	AS	0	O
朝鲜	NR	0	O
领导人	NN	0	O
对	P	0	O
中国	NR	0	O
领导人	NN	0	O
的	DEG	0	O
亲切	JJ	0	O
问候	NN	0	O
，	PU	0	O
代表	VV	0	O
朝方	NN	0	O
对	P	0	O
中国	NR	0	B-ARG0
党政	NN	0	I-ARG0
领导人	NN	0	I-ARG0
和	CC	0	I-ARG0
人民	NN	0	E-ARG0
哀悼	VV	1	rel
金日成	NR	0	B-ARG1
主席	NN	0	I-ARG1
逝世	VV	0	E-ARG1
表示	VV	0	O
深切	JJ	0	O
谢意	NN	0	O
。	PU	0	O

爱	VV	1	rel
穿	VV	0	B-ARG1
牛仔裤	NN	0	E-ARG1
的	DEC	0	O
马克斯	NR	0	S-ARG0
是	VC	0	O
当代	NN	0	O
商业	NN	0	O
流行	JJ	0	O
音乐	NN	0	O
的	DEG	0	O
代表	NN	0	O
人物	NN	0	O
，	PU	0	O
他	PN	0	O
的	DEG	0	O
作品	NN	0	O
非常	AD	0	O
符合	VV	0	O
中国	NR	0	O
歌迷	NN	0	O
的	DEG	0	O
口味	NN	0	O
。	PU	0	O

也许	AD	0	O
是	VC	0	O
因为	P	0	O
这	DT	0	O
段	M	0	O
历史	NN	0	O
的	DEG	0	O
缘由	NN	0	O
，	PU	0	O
也许	AD	0	O
是	VC	0	O
因为	P	0	O
意大利人	NN	0	S-ARG0
更	AD	0	S-ARGM-ADV
爱	VV	1	rel
为	P	0	B-ARG1
足球	NN	0	I-ARG1
而	MSP	0	I-ARG1
激动	VV	0	E-ARG1
，	PU	0	O
所以	AD	0	O
即将	AD	0	O
诞生	VV	0	O
的	DEC	0	O
欧元	NN	0	O
并	AD	0	O
没有	VV	0	O
在	P	0	O
意大利	NR	0	O
掀起	VV	0	O
大	VA	0	O
的	DEC	0	O
波澜	NN	0	O
。	PU	0	O

由	P	0	O
教育署	NN	0	O
及	CC	0	O
两	CD	0	O
间	M	0	O
传播	NN	0	O
机构	NN	0	O
合办	VV	0	O
以	P	0	O
「	PU	0	O
敬	VV	0	O
师	NN	0	O
